0.011,-0.8232,-0.54,1.3038
0.002,-0.8418,-0.49,1.3664
-0.009,-0.8557,0.55,1.3045
1.028,0.0631,0.77,2.6409
0.449,-0.4683,-0.01,1.8522
1.728,0.6473,2.08,3.7851
