-2.7,5660,7550,1413
-1.88,5854,7948,1530
-1.23,5878,8110,1596
-0.5,5887,8143,1638
0.15,5897,8088,1633
0.23,5883,8083,1617
1.00,5838,8006,1588
1.72,5655,7821,1528
2.4,5568,7511,1424
3.25,5415,7195,1297
4.017,5187,6819,1188
4.52,5042,6450,1033
