Date,Price
2010/12,15.2549
2011/01,13.6059
2011/02,14.4194
2011/03,16.5742
2011/04,13.0182
2011/05,13.3427
2011/06,14.7098
2011/07,13.5352
2011/08,12.1343
2011/09,18.7377
2011/10,21.5728
2011/11,26.8247
2011/12,24.6254
2012/01,25.3893
2012/02,13.3365
2012/03,15.1417
2012/04,90.177
2012/05,89.830
2012/06,74.961
2012/07,64.537
2012/08,10.7757
2012/09,11.6241
2012/10,10.6626
2012/11,11.7086
2012/12,14.0676
2013/01,12.8447
2013/02,10.0209
2013/03,91.981
2013/04,10.8994
2013/05,12.1601
2013/06,10.7860
2013/07,11.0707
2013/08,67.571
2013/09,86.063
2013/10,87.265
2013/11,86.276
2013/12,96.995
2014/01,85.190
2014/02,77.481
2014/03,11.0318
2014/04,99.949
2014/05,13.2212
2014/06,11.7092
2014/07,14.2429
2014/08,14.2868
2014/09,14.3963
2014/10,13.8188
2014/11,10.3294
2014/12,14.5178
2015/01,11.0961
2015/02,10.5563
2015/03,14.8172
2015/04,11.7073
2015/05,11.7931
2015/06,12.4433
2015/07,10.2796
2015/08,11.4140
2015/09,13.1388
2015/10,11.3485
2015/11,12.3079
2015/12,12.4435
2016/01,10.7145
2016/02,94.571
2016/03,90.228
2016/04,85.456
2016/05,85.287
2016/06,70.978
2016/07,85.801
2016/08,93.637
2016/09,10.2244
2016/10,11.0505
2016/11,12.4420
2016/12,10.8511
2017/01,12.8539
2017/02,84.298
2017/03,10.1830
2017/04,89.308
2017/05,95.181
2017/06,88.688
2017/07,77.848
2017/08,79.674
2017/09,92.123
2017/10,92.756
2017/11,11.2168
2017/12,12.0431
2018/01,10.5530
2018/02,89.840
2018/03,75.697
2018/04,84.533
2018/05,87.722
2018/06,49.841
2018/07,66.332
2018/08,70.738
2018/09,82.932
2018/10,97.611
2018/11,11.8059
2018/12,11.0440
2019/01,11.4629
2019/02,88.723
2019/03,89.538
2019/04,82.875
2019/05,95.697
2019/06,81.569
2019/07,87.171
2019/08,95.533
2019/09,96.513
2019/10,92.604
2019/11,99.221
2019/12,10.7555
2020/01,10.1334
2020/02,75.836
2020/03,10.6695
2020/04,93.733
2020/05,12.2331
2020/06,89.794
2020/07,66.335
2020/08,61.715
2020/09,87.305
2020/10,11.1782
2020/11,11.5656
2020/12,12.8823
2021/01,10.9252
2021/02,11.2305
2021/03,11.5099
2021/04,94.671
2021/05,11.8536
2021/06,10.8001
2021/07,81.897
2021/08,98.620
2021/09,85.452
2021/10,13.1631
2021/11,12.0896
2021/12,14.9556
2022/01,14.6751
2022/02,17.7513
2022/03,18.5460
2022/04,19.7431
2022/05,11.9075
2022/06,18.1707
