Epoch,Loss
0,0.7089
1,0.7053
2,0.7037
3,0.7037
4,0.7037
5,0.7037
6,0.7037
7,0.7037
8,0.7037
9,0.7037
10,0.7037
11,0.7037
12,0.7037
13,0.7037
14,0.7037
15,0.7037
16,0.7037
17,0.7037
18,0.7037
19,0.7037
20,0.7037
21,0.7037
22,0.7037
23,0.7037
24,0.7037
25,0.7037
26,0.7037
27,0.7037
28,0.7037
29,0.7037
30,0.7037
31,0.7037
32,0.7037
33,0.7037
34,0.7037
35,0.7037
36,0.7037
37,0.7037
38,0.7037
39,0.7037
40,0.7037
41,0.7037
42,0.7037
43,0.7037
44,0.7037
45,0.7037
46,0.7037
47,0.7037
48,0.7037
49,0.7037
50,0.7037
51,0.7037
52,0.7037
53,0.7037
54,0.7037
55,0.7037
56,0.7037
57,0.7037
58,0.7037
59,0.7037
60,0.7037
61,0.7037
62,0.7037
63,0.7037
64,0.7037
65,0.7037
66,0.7037
67,0.7037
68,0.7037
69,0.7037
70,0.7037
71,0.7037
72,0.7037
73,0.7037
74,0.7037
75,0.7037
76,0.7037
77,0.7037
78,0.7037
79,0.7037
80,0.7037
81,0.7037
82,0.7037
83,0.7037
84,0.7037
85,0.7037
86,0.7037
87,0.7037
88,0.7037
89,0.7037
90,0.7037
91,0.7037
92,0.7037
93,0.7037
94,0.7037
95,0.7037
96,0.7037
97,0.7037
98,0.7037
99,0.7037
100,0.7037
101,0.7037
102,0.7037
103,0.7037
104,0.7037
105,0.7037
106,0.7037
107,0.7037
108,0.7037
109,0.7037
110,0.7037
111,0.7037
112,0.7037
113,0.7037
114,0.7037
115,0.7037
116,0.7037
117,0.7037
118,0.7037
119,0.7037
120,0.7037
121,0.7037
122,0.7037
123,0.7037
124,0.7037
125,0.7037
126,0.7037
127,0.7037
128,0.7037
129,0.7037
130,0.7037
131,0.7037
132,0.7037
133,0.7037
134,0.7037
135,0.7037
136,0.7037
137,0.7037
138,0.7037
139,0.7037
140,0.7037
141,0.7037
142,0.7037
143,0.7037
144,0.7037
145,0.7037
146,0.7037
147,0.7037
148,0.7037
149,0.7037
150,0.7037
151,0.7037
152,0.7037
153,0.7037
154,0.7037
155,0.7037
156,0.7037
157,0.7037
158,0.7037
159,0.7037
160,0.7037
161,0.7037
162,0.7037
163,0.7037
164,0.7037
165,0.7037
166,0.7037
167,0.7037
168,0.7037
169,0.7037
170,0.7037
171,0.7037
172,0.7037
173,0.7037
174,0.7037
175,0.7037
176,0.7037
177,0.7037
178,0.7037
179,0.7037
180,0.7037
181,0.7037
182,0.7037
183,0.7037
184,0.7037
185,0.7037
186,0.7037
187,0.7037
188,0.7037
189,0.7037
190,0.7037
191,0.7037
192,0.7037
193,0.7037
194,0.7037
195,0.7037
196,0.7037
197,0.7037
198,0.7037
199,0.7037
200,0.7037
201,0.7037
202,0.7037
203,0.7037
204,0.7037
205,0.7037
206,0.7037
207,0.7037
208,0.7037
209,0.7037
210,0.7037
211,0.7037
212,0.7037
213,0.7037
214,0.7037
215,0.7037
216,0.7037
217,0.7037
218,0.7037
219,0.7037
220,0.7037
221,0.7037
222,0.7037
223,0.7037
224,0.7037
225,0.7037
226,0.7037
227,0.7037
228,0.7037
229,0.7037
230,0.7037
231,0.7037
232,0.7037
233,0.7037
234,0.7037
235,0.7037
236,0.7037
237,0.7037
238,0.7037
239,0.7037
240,0.7037
241,0.7037
242,0.7037
243,0.7037
244,0.7037
245,0.7037
246,0.7037
247,0.7037
248,0.7037
249,0.7037
250,0.7037
251,0.7037
252,0.7037
253,0.7037
254,0.7037
255,0.7037
256,0.7037
257,0.7037
258,0.7037
259,0.7037
260,0.7037
261,0.7037
262,0.7037
263,0.7037
264,0.7037
265,0.7037
266,0.7037
267,0.7037
268,0.7037
269,0.7037
270,0.7037
271,0.7037
272,0.7037
273,0.7037
274,0.7037
275,0.7037
276,0.7037
277,0.7037
278,0.7037
279,0.7037
280,0.7037
281,0.7037
282,0.7037
283,0.7037
284,0.7037
285,0.7037
286,0.7037
287,0.7037
288,0.7037
289,0.7037
290,0.7037
291,0.7037
292,0.7037
293,0.7037
294,0.7037
295,0.7037
296,0.7037
297,0.7037
298,0.7037
299,0.7037
300,0.7037
301,0.7037
302,0.7037
303,0.7037
304,0.7037
305,0.7037
306,0.7037
307,0.7037
308,0.7037
309,0.7037
310,0.7037
311,0.7037
312,0.7037
313,0.7037
314,0.7037
315,0.7037
316,0.7037
317,0.7037
318,0.7037
319,0.7037
320,0.7037
321,0.7037
322,0.7037
323,0.7037
324,0.7037
325,0.7037
326,0.7037
327,0.7037
328,0.7037
329,0.7037
330,0.7037
331,0.7037
332,0.7037
333,0.7037
334,0.7037
335,0.7037
336,0.7037
337,0.7037
338,0.7037
339,0.7037
340,0.7037
341,0.7037
342,0.7037
343,0.7037
344,0.7037
345,0.7037
346,0.7037
347,0.7037
348,0.7037
349,0.7037
350,0.7037
351,0.7037
352,0.7037
353,0.7037
354,0.7037
355,0.7037
356,0.7037
357,0.7037
358,0.7037
359,0.7037
360,0.7037
361,0.7037
362,0.7037
363,0.7037
364,0.7037
365,0.7037
366,0.7037
367,0.7037
368,0.7037
369,0.7037
370,0.7037
371,0.7037
372,0.7037
373,0.7037
374,0.7037
375,0.7037
376,0.7037
377,0.7037
378,0.7037
379,0.7037
380,0.7037
381,0.7037
382,0.7037
383,0.7037
384,0.7037
385,0.7037
386,0.7037
387,0.7037
388,0.7037
389,0.7037
390,0.7037
391,0.7037
392,0.7037
393,0.7037
394,0.7037
395,0.7037
396,0.7037
397,0.7037
398,0.7037
399,0.7037
400,0.7037
401,0.7037
402,0.7037
403,0.7037
404,0.7037
405,0.7037
406,0.7037
407,0.7037
408,0.7037
409,0.7037
410,0.7037
411,0.7037
412,0.7037
413,0.7037
414,0.7037
415,0.7037
416,0.7037
417,0.7037
418,0.7037
419,0.7037
420,0.7037
421,0.7037
422,0.7037
423,0.7037
424,0.7037
425,0.7037
426,0.7037
427,0.7037
428,0.7037
429,0.7037
430,0.7037
431,0.7037
432,0.7037
433,0.7037
434,0.7037
435,0.7037
436,0.7037
437,0.7037
438,0.7037
439,0.7037
440,0.7037
441,0.7037
442,0.7037
443,0.7037
444,0.7037
445,0.7037
446,0.7037
447,0.7037
448,0.7037
449,0.7037
450,0.7037
451,0.7037
452,0.7037
453,0.7037
454,0.7037
455,0.7037
456,0.7037
457,0.7037
458,0.7037
459,0.7037
460,0.7037
461,0.7037
462,0.7037
463,0.7037
464,0.7037
465,0.7037
466,0.7037
467,0.7037
468,0.7037
469,0.7037
470,0.7037
471,0.7037
472,0.7037
473,0.7037
474,0.7037
475,0.7037
